title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
Allied,2016.0,14A,2h 4m,7.1,168K,Action|Drama|Romance,"In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war."
Blade Runner 2049,2017.0,14A,2h 44m,8.0,651K,Action|Drama|Mystery,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
The Hunger Games,2012.0,PG,2h 22m,7.2,997K,Action|Adventure|Sci-Fi,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
Air Force One Down,2024.0,R,1h 24m,4.4,985,Action|Thriller,A rookie agent aboard the hijacked Air Force One battle terrorists threatening the energy deal and the president.
Indiana Jones and the Dial of Destiny,2023.0,PG,2h 34m,6.6,192K,Action|Adventure|Sci-Fi,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
Inglourious Basterds,2009.0,18A,2h 33m,8.4,1.6M,Adventure|Drama|War,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Spider-Man: No Way Home,2021.0,PG,2h 28m,8.2,866K,Action|Adventure|Fantasy,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
Five Nights at Freddy's,2023.0,14A,1h 49m,5.5,88K,Horror|Mystery|Thriller,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's."
Finestkind,2023.0,R,2h 6m,6.0,6.4K,Crime|Drama|Thriller,A crew of fishermen tread dangerous waters when their debts start piling up.
Gladiator,2000.0,18,2h 35m,8.5,1.6M,Action|Adventure|Drama,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Sound of Freedom,2023.0,14A,2h 11m,7.7,109K,Biography|Crime|Drama,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.
Guardians of the Galaxy Vol,2023.0,14A,2h 30m,7.9,372K,Action|Adventure|Comedy,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Babylon,2022.0,18A,3h 9m,7.1,163K,Comedy|Drama|History,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
The Equalizer 3,2023.0,14A,1h 49m,6.8,103K,Action|Crime|Thriller,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
Aftersun,2022.0,PG,1h 42m,7.6,89K,Drama,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
My Son,2021.0,16+,1h 35m,6.0,15K,Crime|Drama|Mystery,"Driving in the heart of the Highlands, Edmond Murray receives a call from his ex-wife, in tears. Their 7-year-old son went missing from a campsite. Soon it becomes clear that the child was kidnapped and the parents give way to despair."
Talk to Me,2022.0,14A,1h 35m,7.1,133K,Horror|Thriller,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces."
Fight Club,1999.0,R,2h 19m,8.8,2.3M,Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Family Plan,2023.0,PG-13,1h 58m,6.3,37K,Action|Comedy,A former top assassin living incognito as a suburban dad must take his unsuspecting family on the run when his past catches up to him.
Freud's Last Session,2023.0,PG,1h 48m,6.0,1.2K,Drama,"Freud invites iconic author C.S. Lewis to debate the existence of God. And his unique relationship with his daughter, and Lewis' unconventional relationship with his best friend's mother."
Wish,2023.0,G,1h 35m,5.7,21K,Animation|Adventure|Comedy,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
Green Book,2018.0,PG,2h 10m,8.2,560K,Biography|Comedy|Drama,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
Mad Max: Fury Road,2015.0,14A,2h,8.1,1.1M,Action|Adventure|Sci-Fi,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
Good Will Hunting,1997.0,14A,2h 6m,8.3,1.1M,Drama|Romance,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Pearl,2022.0,18A,1h 43m,7.0,91K,Drama|Horror|Thriller,"In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation, and lovelessness of life on her parents' farm."
The Super Mario Bros,2023.0,PG,1h 32m,7.0,231K,Animation|Adventure|Comedy,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
The Hill,2023.0,PG,2h 6m,6.7,4.8K,Biography|Drama|Sport,The remarkable true-life story of Rickey Hill's improbable journey to play Major League Baseball.
The Favourite,2018.0,14A,1h 59m,7.5,227K,Biography|Comedy|Drama,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne."
Tenet,2020.0,PG,2h 30m,7.3,583K,Action|Sci-Fi|Thriller,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time."
Bullet Train,2022.0,14A,2h 7m,7.3,414K,Action|Comedy|Thriller,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
John Wick: Chapter 4,2023.0,14A,2h 49m,7.7,326K,Action|Crime|Thriller,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023.0,PG,1h 39m,7.2,60K,Animation|Action|Adventure,The Turtle brothers work to earn the love of New York City while facing down an army of mutants.
The Catcher Was a Spy,2018.0,R,1h 34m,6.2,11K,Biography|Drama|History,Former Major League Baseball player Moe Berg goes undercover in World War II Europe for the Office of Strategic Services.
Uncharted,2022.0,PG,1h 56m,6.3,254K,Action|Adventure,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada."
Hanu Man,2024.0,PG,2h 38m,8.4,18K,Action|Adventure|Fantasy,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.
The Silence of the Lambs,1991.0,18+,1h 58m,8.6,1.5M,Crime|Drama|Thriller,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Joker,2019.0,14A,2h 2m,8.4,1.5M,Crime|Drama|Thriller,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
Schindler's List,1993.0,14A,3h 15m,9.0,1.4M,Biography|Drama|History,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
A Different Man,2024.0,,1h 52m,7.5,216,Thriller,"It tells the story of Edward. After undergoing a facial reconstructive surgery, he becomes fixated on an actor in a stage production based on his former life."
The Lobster,2015.0,14A,1h 59m,7.1,290K,Drama|Romance|Sci-Fi,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods."
Dumb Money,2023.0,14A,1h 45m,6.9,36K,Biography|Comedy|Drama,David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video-game store) into the world's hottest company.
Monolith,2022.0,R,1h 34m,6.0,1.1K,Mystery|Sci-Fi|Thriller,"A headstrong journalist whose investigative podcast uncovers a strange artifact, an alien conspiracy, and the lies at the heart of her own story."
The Gentlemen,2019.0,14A,1h 53m,7.8,386K,Action|Crime,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Whiplash,2014.0,14A,1h 46m,8.5,975K,Drama|Music,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Ready Player One,2018.0,PG,2h 20m,7.4,480K,Action|Adventure|Sci-Fi,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
Pride & Prejudice,2005.0,G,2h 9m,7.8,327K,Drama|Romance,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Fast X,2023.0,PG,2h 21m,5.8,116K,Action|Adventure|Crime,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
No Country for Old Men,2007.0,18A,2h 2m,8.2,1M,Crime|Drama|Thriller,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
Goodfellas,1990.0,18A,2h 25m,8.7,1.2M,Biography|Crime|Drama,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Knives Out,2019.0,PG,2h 10m,7.9,766K,Comedy|Crime|Drama,"A detective investigates the death of the patriarch of an eccentric, combative family."
The Killer,2023.0,14A,1h 58m,6.7,174K,Action|Adventure|Crime,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal."
The Color Purple,1985.0,14A,2h 34m,7.7,96K,Drama,"A tale spanning forty years in the life of Celie, an African-American woman living in the South who survives incredible abuse and bigotry."
10 Things I Hate About You,1999.0,14A,1h 37m,7.3,380K,Comedy|Drama|Romance,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat."
Freelance,2023.0,14A,1h 48m,5.5,14K,Action|Comedy,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle."
Moonfall,2022.0,13+,2h 10m,5.1,98K,Action|Adventure|Sci-Fi,A mysterious force knocks the moon from its orbit and sends it hurtling on a collision course toward earth.
